('1', (332, 137))^('0', (1274, 846))^('3', (428, 27))^('2', (401, 69))^168^628
focus management consultants pvt ltd^('focus humanitarian assistance', 1)
deutsche bank^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)^('deutsche bank', 0)
facilitybot^('facilitybot', 0)
jump trading llc^('jump trading', 0)
microsoft^('microsoft', 0)^('microsoft', 0)
various companies^('various companies', 0)^('various companies', 0)
carnegie investment bank^('carnegie investment bank', 0)
deloitte consulting^('deloitte', 0)^('deloitte', 0)^('deloitte', 0)^('deloitte', 0)
webb traders^('webb traders', 0)
nasdaq^('nasdaq', 0)^('nasdaq', 0)^('nasdaq', 0)
akamai technologies^('akamai technologies', 0)
engie global energy management & sales^('engie global energy management & sales', 0)
banque wormser^('banque misr', 1)
abacus executive search limited^('abacus executive search', 3)
rasa^('rasa', 0)
t. rowe price uk^('t. rowe price', 0)^('t. rowe price uk', 0)^('t. rowe price', 0)
bloomberg lp^('bloomberg lp', 0)^('bloomberg lp', 0)^('bloomberg lp', 0)^('bloomberg lp', 0)^('bloomberg lp', 0)
b2b salesify^('b2b salesify', 0)
adnoc group^('adnoc', 1)
paysafe group^('paysafe', 1)
ntree international^('ntree international', 0)
digitalrfq^('digitalrfq', 0)
upwork^('upwork', 0)^('upwork', 0)^('upwork', 0)^('upwork', 0)^('upwork', 0)
millennium management^('millennium', 0)^('millennium', 0)
imperva^('imperva', 0)
onpoint prospecting inc^('onpoint prospecting', 2)
al sharhan^('al salam bank', 1)
amazon^('amazon web services', 0)^('amazon web services', 0)^('amazon web services', 0)^('amazon', 0)^('amazon', 0)^('amazon web services', 0)^('amazon', 0)^('amazon', 0)
travel counsellors^('travel counsellors', 0)^('travel industry', 1)
twilio^('twilio', 0)
questdb^('questdb', 0)^('questdb', 0)
osttra^('osttra', 0)
mcgregor boyall associates^('mcgregor boyall associates', 0)
yeda - technology transfer company of weizmann institute of science^('yeda', 1)
technology solutions usa l.l.c^('technology wordsmith', 1)
tetraketra^('tetraketra', 0)
japr tech^('japr tech', 0)
rothesay^('rothesay', 0)
numis securities ltd^('numis', 1)
grab^('grab', 0)
td ameritrade^('td securities', 0)
eglogics softech pvt. ltd.^('eglogics softech', 2)
nilank technology ltd^('nilank technology', 2)^('nilank technologies', 2)
ms financial & technology consulting, llc^('ms virtuals', 1)
govtech singapore^('govtech singapore', 0)
eagle strategies, llc^('eagle alpha', 1)
startup^('startup', 0)
hcl technologies^('hcl technologies', 0)^('hcl technologies', 0)
seb^('seb', 0)^('seb', 0)^('seb', 0)
arbolus technologies^('arbolus', 1)
zenithar^('zenithar', 0)
campeya india pvt. ltd.^('campeya india', 2)
4p capital^('4p capital', 0)
untapped^('untapped ai', 1)
mendix^('mendix', 0)
treasury consulting pte ltd^('treasury consulting', 2)
grant thornton^('grant thornton uk', 2)
profit by piping logistics^('profit by piping logistics', 0)
digital ific pvt ltd^('digital ific', 2)
richard knight bloodstock agent ltd^('richard knight bloodstock agent', 3)
blockchain asia pacific^('blockchain asia pacific', 0)
melco resorts & entertainment^('melco resorts & entertainment', 0)
dataguise now part of pkware^('dataguise', 1)
equifax^('equifax', 0)
john lewis^('john lewis', 0)
lloyds banking group^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)^('lloyds banking', 2)
britannia global markets limited^('britannia global markets', 3)
datamatics business solutions ltd.^('datamatics business solutions', 3)
faulcon delacy ltd^('faulcon delacy', 2)
birkle it | we are hiring^('birkle it', 2)
tailor-m^('tailor-m', 0)
durran^('durran', 0)
misha infotech pvt ltd^('misha infotech', 2)
insight investment^('insight investment', 0)
kinguin^('kinguin', 0)
interactive mission^('interactive mission', 0)
torstone technology^('torstone technology', 0)^('torstone technology', 0)
street's press house^("street's press house", 0)
nd consulting^('nd consulting', 0)
seobal business solutions^('seobal business solutions', 0)
university of exeter^('university of exeter', 0)
fintech securities^('fintech leaders club', 1)
marsh & mclennan companies^('marsh & parsons', 2)
knowledge leaders^('knowledge train', 1)
systematica investments^('systematica investments', 0)
reliance insurance limited^('reliance retail', 1)
codemap.io^('codemap.io', 0)
manchester global^('manchester united', 1)
evolve investment holding^('evolve investment holding', 0)^('evolve enterprise solutions', 1)
dorilton^('dorilton', 0)
gxs^('gxs', 0)
intellect data^('intellect design arena', 1)
ucl^('ucl', 0)
archax^('archax', 0)
ilbk group^('ilbk', 1)
nomura^('nomura', 0)^('nomura', 0)^('nomura', 0)^('nomura', 0)^('nomura', 0)^('nomura', 0)^('nomura', 0)
multicloud4u^('multicloud4u', 0)
swift^('swift', 0)
hsbc global banking and markets^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc global banking and markets', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)^('hsbc', 0)
js capital^('js global capital', 3)
teceze^('teceze', 0)
erevena^('erevena', 0)
aiviq^('aiviq', 0)
members only^('members only', 0)
bmll^('bmll', 0)^('bmll', 0)^('bmll', 0)
first wave^('first wave', 0)
windfall token technologies^('windfall token', 2)
my remote people^('my remote people', 0)
roi mantra inc.^('roi mantra', 2)
awakn^('awakn', 0)
itjet^('itjet', 0)
webmaster-it^('webmaster-it', 0)
citadel llc^('citadel', 0)^('citadel', 0)^('citadel', 0)
rathbones^('rathbones', 0)
reference point^('reference point', 0)
epam systems^('epam', 1)^('epam', 1)
complete coherence ltd^('complete coherence', 2)
giving me^('giving me', 0)
william blair^('william blair', 0)
financial times^('financial times', 0)
suncorp group^('suncorp', 1)^('suncorp', 1)
3b digital^('3b digital', 0)^('3b digital', 0)
adafine^('adafine', 0)
publicis sapient^('publicis sapient', 0)^('publicis sapient', 0)
cyclefit uk^('cyclefit uk', 0)
foxberry ltd^('foxberry', 1)
infollion research services^('infollion research services', 0)
masabi^('masabi', 0)
growth genie^('growth solution', 1)
adaptive financial consulting ltd^('adaptive financial consulting', 3)
mityung^('mityung', 0)
independent^('independent consultant', 0)^('independent consultancy', 1)^('independent professional', 1)
virtasant^('virtasant', 0)
dolphin interconnect solutions^('dolphin interconnect solutions', 0)
fd technologies^('fd technologies', 0)
commonwealth bank australia^('commonwealth bank', 0)
phd^('phd', 0)
clsa^('clsa', 0)
fnz group^('fnz', 0)
companies research in financial markets^('companies research in financial markets', 0)
fixnetix ltd^('fix trading community', 0)^('fix trading community', 0)
stasher^('stasher', 0)
tradition^('tradition securities and futures', 0)^('tradition', 0)
